frame,mph,yards_per_sec,accel_mph_s,stride_ft,stride_yards,rotation_deg,total_yards,total_feet,effort,x_px,y_px
1,0.0,0.0,0.0,1.99,0.665,-10.63,0.0,0.0,STANDING,176.6,754.1
2,0.1,0.049,4.037,1.98,0.659,-11.01,0.0,0.01,STANDING,176.4,753.8
3,10.01,4.894,396.373,1.03,0.344,-5.82,0.22,0.66,ROUTE,142.2,750.1
4,2.82,1.381,-287.418,1.13,0.378,-4.97,0.23,0.68,WALKING,143.3,750.3
5,12.82,6.266,399.673,2.91,0.972,-6.42,0.49,1.47,ROUTE,183.3,738.8
6,12.73,6.222,-3.614,0.74,0.246,22.31,0.7,2.09,ROUTE,152.0,748.2
7,10.73,5.243,-80.048,0.51,0.169,32.37,0.86,2.58,ROUTE,126.5,752.9
8,10.45,5.11,-10.92,0.53,0.176,13.69,1.03,3.09,ROUTE,153.0,749.9
9,15.33,7.495,195.184,4.15,1.382,-2.12,1.31,3.92,RUNNING,196.0,741.6
10,4.07,1.992,-450.324,4.13,1.376,-2.03,1.31,3.93,WALKING,195.2,742.0
11,21.94,10.727,714.706,1.08,0.361,59.17,1.77,5.3,TOP SPEED,125.2,758.3
12,25.76,12.593,152.709,2.54,0.847,-10.42,2.21,6.62,TOP SPEED,190.6,782.3
13,7.03,3.435,-749.281,2.66,0.888,-10.83,2.22,6.66,JOGGING,192.6,782.7
14,5.79,2.831,-49.412,3.81,1.269,-3.25,2.31,6.92,JOGGING,202.4,772.9
15,28.0,13.689,4704.784,3.52,1.172,-18.48,4.96,14.87,TOP SPEED,570.2,974.1
16,28.0,13.689,15153.688,0.2,0.067,7.37,13.64,40.93,TOP SPEED,1915.1,689.9
17,28.0,13.689,1025.874,0.05,0.016,9.55,14.66,43.97,TOP SPEED,1914.3,850.3
18,28.0,13.689,18019.468,0.11,0.037,-6.63,24.9,74.71,TOP SPEED,298.9,717.7
19,24.55,12.0,-138.152,0.21,0.07,12.85,25.28,75.85,TOP SPEED,318.9,660.8
20,9.19,4.495,-614.088,0.15,0.05,10.9,25.35,76.05,ROUTE,321.3,671.1
21,13.45,6.576,170.271,0.43,0.145,42.27,25.59,76.78,ROUTE,305.9,706.2
22,15.32,7.491,74.838,1.23,0.409,8.84,25.85,77.56,RUNNING,346.9,704.0
